,review
35,8991 barrel sample here is a warm ripe wine with dark tannins its well spiced and fruity showing crisp black currant fruits
36,8991 barrel sample initially lean this wine then shows severe firm tannins followed by rich blackberry fruits its dark intensity should offer good aging in a wine that will always have a serious side
37,8991 barrel sample one of the largest vineyards in the médoc larose trintaudon has produced a reliable attactively fruity wine with soft tannins blackberryjuice flavors and a crisp acidity at the end
38,8991 barrel sample powerful but smooth with ripe milk chocolate and sweetness very velvet in texture with just enough acidity
39,8991 barrel sample smooth opulent powerful this is big in yellow fruits mango banana with a rich intense texture not exactly sweet more super rich
40,8991 barrel sample spice and sweet fruits a delicious wine already soft and approachable only a hint of tough tannin suggests aging
41,8991 barrel sample spicy new wood dominates this wine with the weight of fruit to justify it its solid fullbodied and already balanced
42,8991 barrel sample the wine has a rustic edge over very juicy fruit very blackcurrant and with a high acid content it feels light
43,8991 barrel sample this chateau has been newly acquired by the barton family of léoville barton its an attractive fruity wine with warm tannins the palate is fine and juicy and finishes softly at the end
44,8991 barrel sample this is ripe the tannins a whisper behind the spice and fresh juicy fruits great ripe fruity merlot
45,8991 barrel sample very structured wine dense tannins weighty extracted and dark the fruit is hard to find in all this
46,9092 a big solid effort with spicy fruit exotic herbs and denseness but the fruit is still fresh to give the wine a final lift
47,9092 barrel sample a smooth wine with vanilla wood flavors the fruit is almost incidental at the moment but its black and firm enough and with its juicy character the wine should come through well
48,9092 barrel sample a very smoky character with an attractive lightness the fruit is bright even though there is richness the tannins give a dark dry aftertaste
49,9092 barrel sample big solid rich and dense fruits packed with black berry juice and very ripe tannins it feels wighty with a stewed prune aftertaste
50,9092 barrel sample complex this is a wine that is slashed through with fresh fruit but that only enhance the dense tannins and solid structure yet it preserves a lightness and freshness
51,9092 barrel sample complex wine very smooth and polished the sweet tannins softened by wood there is a great vanilla character over the wafts of ripe fruit
52,9092 barrel sample concentration and ripe fruit but with a definite structure that shows as considerable depth of fruit and structure
53,9092 barrel sample dense smoky tannins over ripe fruit with layers of powerful structure it is extracted but also wellmade
54,9092 barrel sample dense tannins over delicious blackberry juicy fruit a finely structured wine good freshness and sweet aftertaste
55,9092 barrel sample dry intense tannins dominate this wine the fruit is going to come through later but together the two will give it a powerful heavy structure
56,9092 barrel sample firm and austere dark with tannins that come from a dry core with high acid around the fruit is juicy but it is on the edgy dry side unlike usual vintages of this wine it seems to need aging
57,9092 barrel sample forward fresh wine that has some good intensity as well there is a creamy ripe character under the freshness hints of attractive wood
58,9092 barrel sample fruity attractively balanced wine the spice and caramel wood flavors fitting well into the sweet berry fruits
59,9092 barrel sample it takes a while for this wine to show then it has solid tannins topped by ripe berry flavors rich plums and an edge of juiciness
60,9092 barrel sample one of the likely candidates for promotion to grand cru classé status this is jeanluc thunevins original estate this year there is considerable restraint in what is normally an immensely opulent wine it is elegant rather than having a noholdsbarred attitude that will make this wine a classic
61,9092 barrel sample power and structure over extreme juicy fruits with black plum skins spice from wood and a firm underlay
62,9092 barrel sample pure blackberry and currant fruits lots of ripe and juicy flavors intense concentrated and smoky
63,9092 barrel sample soft fleshy and fruity with tannins that are very ripe the fruit has blackberry juice sweet with an edge of licorice
64,9092 barrel sample spicy wood is the dominant character in this wine at this stage the palate is bold with newwood aging while the acidity and juiciness are in the background but theres good potential for the future
65,9092 barrel sample tannin dominated wine very solid chunky it has a very dry firm core with the surrounding fruit extracted and tight just a final hint of juiciness
66,9092 barrel sample this is a finely crafted wine packed with all the right tannins that blend easily into the wood and blackberry flavors the fruit is very pure intense and finely layered
67,9092 barrel sample this is a serious complex wine that shows rich black fruits and firm tannins the palate is structured and dark needing longterm aging
68,9092 barrel sample this is hugely rich and powerful with attractively ripe intense fruit delicious layers of fresh fruits combine with concentrated botrytis and lemon flavors a perfect foie gras partner
69,9092 barrel sample with the team of léoville lascases in charge this is always one of the high performing médoc properties it is tight dark taking a while to open the blackberry flavors are almost stalky but they are softened by smoky wood
70,91 cabernet sauvignon plus merlot and cabernet franc vergelegens ultrapremium cuvée is tightly structured harmoniously balanced and built to age although it has a greener flavor profile than many modern winesbell pepper and bramble aromas and green bean flavorsthere is still plenty of underlying cassis tobacco and chocolate to make this a keeper polished tannins lead to a long powerful finish
71,9193 barrel sample although the aromas are heavily of wood the fruit has a fresh lift giving some spices with a core of tannin coming through to finish with some juiciness a wine in the elegant style
72,9193 barrel sample big ripe and juicya dolly parton wine with exuberant fruitiness this is attractive now but there are solid firm tannins so the wine will perhaps grow up
73,9193 barrel sample elegant style with pure fruits shining through the tight tannins a finely balanced wine ripe but densely dry
74,9193 barrel sample fat style almost burgundian in its creamy character a fullbodied wine with plenty of ripe yellow fruit and mango flavors big bold
75,9193 barrel sample firm tannins solid chunky but with good ripe fruits and sweet tannins the wine has structure some bitter coffee and fresh acidity
76,9193 barrel sample initially this wine seems very soft the ripe fruit just floating but it is all suppressed at this stage and suddenly you taste the tannins and the power that is held back
77,9193 barrel sample lovely delicious sweet fruit leads a ripe and generous wine showing deliciously black almost raisiny flavors theres a pile of richness with acidity acting as a seasoning
78,9193 barrel sample on the dry structured side a wine with huge fruit tannins that roll over the fruit the concentration is palpable all dense fruit the berry flavors get a lookin right at the end for long aging as long as the tannins finally soften
79,9193 barrel sample owned by bernard magrez this modern smooth wine has impressive layers of new wood mint aromas and with a tough solid core
80,9193 barrel sample solid and dominated by dry tannins from both wood and fruit this wine has intense juicy blackfruit flavors its open and lively but shows a core of dense dryness
81,9193 barrel sample strong wood flavors are the opening of this wine but the bright berry fruit is sufficient to give richness the final flavors are of fresh lifted acidity
82,9193 barrel sample this is a rich ripe wine with soft tannins and a generous texture the dry core gives a sense of shape to all the opulence on the palate
83,9193 barrel sample this is a ripe fullbodied wine with rich apricot flavor accented with bright acidity and notes of ginger a finely balanced wine that finishes on a lovely greenplum note
84,9193 barrel sample this wine has fine tannins that are relatively soft with good acidity and dryness its not powerful but with its fine black currant flavor and ripe fruit it shows great style
85,9193 barrel sample well structured this has dry tannins over vivid black fruits it shows acidity but also great juicy sweetness
86,9193 barrel sample with great swathes of spice this is a wine with fruit thats still emerging it has weight and delicious intensity with its layered structure of acidity and tannin this is for longterm aging
87,9193 under new management this estate has improved dramatically there are freshness and fragrant aromas from the black currant fruits to finish it is dry but poised
88,9294 a delicious sweet wine which has great fruit layers of dryness from the botrytis and intense structure the acidity is certainly there but dominated by the richness of the fruit
89,9294 barrel sample a beautiful ripe wine closed but with swathes of fruit tannins and intense acidity finally comes freshness a lively aftertaste
90,9294 barrel sample a beautifully structured wine offering powerful tannins along with the ripest perfumed fruit it balances rich fruit with an intense mineral structure impressive
91,9294 barrel sample a hugely perfumed wine with smooth tannins its impressively ripe with vibrant black fruits
92,9294 barrel sample a powerful but velvet textured wine the tannins dusty and sweet there is great acidity here the fruit soft hiding its power the aftertaste has lively acidity
93,9294 barrel sample a powerful spicedriven wine very rich with a great seasoning of sweet grapefruit and bright fresh acidity at the same time the wine projects richness intensity
94,9294 barrel sample big ripe and juicy with a core of dark spice and wood the wine is fullbodied richly fruity
95,9294 barrel sample dense with impressive solid tannins and powerful fruit the wine is smooth at first then structure comes through with a final dry core
96,9294 barrel sample firm and concentrated this wine has great structure and density along with acidity and berry flavor there is an attractive final spicy element
97,9294 barrel sample mint and new wood aromas lead to a palate that has dark and concentrated tannins the wine is bright and fresh with juicy blackcurrant and plum flavors
98,9294 barrel sample soft ripe pineapple and mango flavors an exotic wine powerful but with extreme freshness touched by honey
99,9294 barrel sample structured a serious layer of new and toasty wood the wine solid with dark tannins chocolate and firm plum skin texture
100,9294 barrel sample sweet with a toffee element the fruit ripe full of bitter orange flavors a richly fine wine concentrated and tight the aftertaste is rich with great wafts of fruit
101,9294 barrel sample this wine is based on tannins yet it also has weight and a complex fruit structure its power lies in the density of its texture
102,9294 barrel sample very dense with plenty of new wood the fruit is ripe but moving towards elegance keeping its richness in control after the fruit bursts in the mouth
103,9294 barrel sample very ripe sweet plums and figs with plush sweet fruits and the richest structure
104,9294 barrel sample with its gold color this announces richness the texture is rich a wine that rounds in the mouth giving sweetness tropical flavors and big ripe fruit only to finish does the acidity arrive
105,9395 a wine that combines big solid but fresh fruit with big flavors of new wood it is solid black and powerful
106,9395 barrel sample a fine wine that shows crisp fruit and a dense dry structure this is solid fruitpacked and firm
107,9395 barrel sample full of ripe cabernet tannins this is a structured wine thats chunky in character it elegantly balances fruit and structure resulting in a wine thats sure to be impressive
108,9395 barrel sample open opulent generous wine kept in check with spicy wood and acidity the wine is ripe with delicious yellow fruit flavors
109,9395 barrel sample ripe sweet and opulent with bright tannins and fruits a velvet wine the tannins well integrated beautiful
110,9395 barrel sample the wine shows dryness and concentration with a core of austere tannins its juicy character slowly emerges
111,9395 barrel sample tight wine the tannins firm giving considerable dryness with its dark texture this is solid but finishing with the freshest of blackcurrant juice
112,9496 always the star of pomerol this wine lives up to its reputation with power but also a great sense of elegance to counterpoint the richness this is classic merlot at its best
113,9496 barrel sample a dense powerful wine packed with very dry very dark tannins there is great fruit as well ranging from black currant to black plums to black cherries a very fine wine
114,9496 barrel sample a wine that is so concentrated and dense spiked with acidity dry botrytis and soft final fruit it is definitly rich not essentially sweet but a powerpacked wine
115,9496 barrel sample big and rich with lots of chocolate and ripe blackplum fruits this is a very structured wine showing some extraction but also spice and sweet tannins powerful but with a finish that is like a cool breeze
116,9496 barrel sample big tannins here very dry but the fruit seems rich enough to support it it is finely structured very dense made for the long haul
117,9496 barrel sample delicious smoky aromas followed by ripe and sweet fruit that is in great balance with the tannins there seems plenty of potential here
118,9496 barrel sample the wine of laville hautbrion has now become the white of la mission hautbrion the quality though is as supreme as ever ripe with tropical fruits toast almost honeyed finishing with pink grapefruit and pear juice
119,9496 barrel sample there is great freshness in this wine which also has ample weight and complex rich fruit its powered by acidity remaining lively and bright and is likely to age well
120,9496 barrel sample wonderful concentration here the wine has the most powerful wood spice ripe and mineral tannins it is impressive in every way showing the total richness of the vintage
121,9597 barrel sample a powerful wine with dark and dry tannins it has a great depth of fruit flavor with immense and concentrated weight and a structure that is for longterm aging
122,9597 barrel sample a superrich wine but one that has managed to retain a superb balance it is powerful dense and concentrated but there is also complexity from the wonderful juicy fruits
123,9597 barrel sample a wine that feels big but not heavy with a solid structure the wine shows black density at the same time as the blackcurrant juice of cabernet shines through
124,9597 barrel sample big and ripe a wine that showers you with ripe tannins black plum and licorice flavors and the most dusty tannins an impressive and seriously concentrated wine
125,9597 barrel sample full and powerfully concentrated this wine has dense acidity sweet black fruits and very fine tannins the concentration is enormous but it expresses itself through the prism of smooth velvettextured tannins
126,9597 barrel sample hautbrions white wine is always a point of reference for a vintage this has richness and power but guards great freshness citrus lime zest and beautiful spicy wood
127,9597 barrel sample the wine is immensely dark powered by black plum and a ripe complex structure already the elements are molding into place expect great things of this wine
128,9597 barrel sample this is a very solid wine with tannins that are very firm and dense there is power without excessive alcohol lending a classic feel and a pure line from fruit acidity and tannin the result is as much about fruit as structure
129,9597 barrel sample this wine shows sheer opulence its beautifully rich and ripe powered by complex flavors of orange zest and superripe mango its fresh showing this vintages character
130,9597 barrel sample very spicy packed with fresh ginger this is a delicious wine tasting fresh but with an additional burst of supreme ripeness
131,9698 barrel sample an impressive wine a true return to form for cheval blanc the fruit is enormous packed with sweet black berry juice and with a brilliant freshness there is a lovely smoky character topped by ripe figs
132,9698 barrel sample concentrated and dense this is a wine that fits well into the power of 2009 there is richness but as well there is great elegance a great structure of richness and sweetness with the final bite of honey
133,9698 barrel sample so velvet you cannot imagine that this is also a powerfully dense and tannic wine the black berry fruits have just the right ripeness while the texture is soft spiced a little with wood under the extreme richness powerful chocolate and delicious final acidity
134,9799 barrel sample year after year margaux makes great wine simply because of its vineyard this year with the high proportion of cabernet sauvignon the wine has stunning ripe tannins and very pure black currant flavors but also a denseness from the ripeness of the fruit its a classic already and is sure to age beautifully
135,a 100 cabernet sauvignon from a prominent site this wine boasts bright juicy red cassis and pomegranate fruit supported by complex layers of dried herb coconut and pencil shavings ready to enjoy now and through 2021 it finishes with a taste of bittersweet chocolate
136,a 100 cabernet sauvignon given two years in french oak this sanguine expertly structured and elegant wine offers plenty of bright cassis and blackberry flavor on the palate seducing with complex layers of dried herb and black tea enjoyable now this wine will also benefit from time hold through 2022
137,a 100 cabernet sauvignon made in small amounts from multiple vineyards including beckstoffer missouri hopper in oakville and the somerston vineyard on the eastern edges of the napa valley rich and concentrated in black plum and berry this is a supple wine thats highlighted by a seasoning of dusty tannins and coconut shavings the finish is awash in chocolate and cinnamon
138,a 100 cabernet sauvignon with a mere 25 cases produced its soft in minty tannins and streams of acidity it reveals cedar and light black cherry fruit and finishes big and smoky age 20192024 the structure is definitely there
139,a 100 sémillon wine this crémant has a rich yellow color aroma of crème brûlée vanilla and charred oak and plenty of toast on the palate behind the oak veneer are lemonlime flavors powered by zesty acidity
140,a 5050 blend of sangiovese and cabernet this wine is rich and opulent without being at all heavy or exaggerated the mouthfeel is smooth soft but structured and there is a long fruit and spice flavored finish
141,a 5050 cabernetsyrah blend this is heavily tannic the cherrycola flavor is smothered in char smoke and bitter espresso this needs a big thick steak to cut through the tannins
142,a 6040 blend of cabernet sauvignon and merlot patrimonio opens with bright fruit tones of cherry and blueberry with background notes of spice and leather overall its easy and compact in style
143,a 6040 blend of sangiovese and merlot this easydrinking and affordable wine offers a nice ensemble of cherry cassis spice and leather pair this wine with pasta alla norma short pasta with fried eggplant and salty ricotta cheese
144,a 7030 blend of cabernet sauvignon and cabernet franc this opens with oakdriven aromas of spice and toast which give it a bold personality loads of bright cherry blackberry plum and licorice flavors appear on the palate to balance out the spice smooth but firm tannins give the wine structure and longevity
145,a 7525 blend that showcases the exotic lychee and pear aromas of gewürz while the riesling asserts itself on the finish in a rush of bracing limelike acidity a unique blend that offers plenty of foodpairing versatility
146,a a blend of sangiovese canaiolo and colorino this opens with a tangy bouquet thats redolent of wild berry dried ginger cola and licorice easy drinking and smooth this has fresh acidity on the finish
147,a balanced wellstructured wine and a superb value cassis black plum guts and anise are supported by soft sweet spice and leather fleshing out the nose and mouth with lingering dusty tannins leaving you begging for more ready to drink now pair with flank steak fajitas
148,a basic wine with whitefruit aromas of apple pineapple and peach this feels fresh with good acidity and satisfying flavors of melon and mango its composed on the finish but far from elevated or complex
149,a beautiful aromatic nose of honey orange apricot and spice unfolds extravagantly in this elegant dessert wine poised tones of honey citrus caramel and vanilla are rich but clean on the palate thanks to a good acidity the wine ends with a tart grapefruit spin
150,a beautiful cabernet that shows the promise of this lake county appellation coming off the very good 2006 it shows the same dry balance but is richer offering graceful flavors of black currants anise and herbs its quite a tannic wine that needs a rich steak to balance it
151,a beautiful chardonnay for drinking now its dry and crisp with pineapple peach and pear flavors accented with vanilla oak and creaminess from lees aging despite the richness theres a firm minerality a tang of steel that makes the wine bracing the grapes are from a vineyard in the southerly cool coombsville area an area that needs its own appellation
152,a beautiful chardonnay with so much class and elegance its a bargain at this price shows lush flavors of pineapple crème brûlée meyer lemon custard and vanilla sorbet balanced with crisp acidity and a fine touch of smoky oak perfect with shellfish
153,a beautiful massive mouthfilling zinfandel impresses on every level from the smooth rich tannins to the dryness and above all the depth and range of flavors blackberries chocolate anise bacon pepper sandalwood the list goes on zinfandel doesnt get much richer than this the alcohol is 155
154,a beautiful nose introduces a cabernet built upon clean precise supple yet muscular fruit this is a really nice bottle still quite youthful with beautiful primary fruit scents and flavors the barrel tannins still need to soften up a bit
155,a beautiful orange pinkcolored wine young and fresh it has great depth of raspberry and red fruit flavors as well as a delicious summer fruit brightness and liveliness a beautiful champagne that will repay some bottle aging
156,a beautiful pinot flashy and dry and drinking well now with crisp acidity and velvety tannins it shows intense cherry raspberry currant and cola flavors brightened with acidity that makes the finish clean and zesty
157,a beautiful quebec classic ice cider with vibrant notes of fresh apple slices drizzled with honey and clove round and full in the mouth without being overly heavy and cloying the tangerine citrus lifts up the sweeter ripe baked apple and superripe stone fruit flavors long and immensely satisfying on the finish a great after dinner sipper for company
158,a beautiful racy chardonnay with a streamlined structure that could almost be a fine barrelaged sauvignon blanc its marked by mouthwatering acidity with savory lemongrass hay vanilla and white pepper flavors first class and elegant as a cocktail sipper
159,a beautiful rendition of pure cabernet sauvignon crafted from the oldest blocks of this iconic vineyard bracing youthful and compact it sends up a fascinating mix of dusty spices black fruits and elegant barrel flavors of toast and coconut butter beautiful balance and length
160,a beautiful riesling perfect for a cocktail or with a wide range of fare bone dry and richly acidic it shows true varietal flavors of citrus honeysuckle diesel or lighter fluid minerals and gardenia flower this is a wine that sommeliers should scoop up but only 450 cases were produced
161,a beautiful rounded wine full of juicy fruit but sustained by a strong tannic structure this dryness suggests good aging potential as does the ripeness of the fruit and the acidity keep for at least 6 years
162,a beautiful sauvignon blanc grown in the southern salinas valley it shows enough pineapple and meyer lemon ripeness to satisfy yet preserves the fresh acidic grassiness of montereys cool climate very balanced and elegant and a good buy at this price
163,a beautiful showing thanks to rich red fruit pomegranate blackberry plum menthol and heavy toasted notes such as clove vanilla almond and coconut rich supple and inky this is a big bold wine that should be opened 510 years from now imported by william grant sons inc
164,a beautiful succulent young cabernetbased bordeaux blend that delivers plenty of flavor its frontloaded with blackberries cherries currants and chocolate delicious now but its a little too soft for the cellar
165,a beautiful syrah its very dry and softly tannic with complex blackberry black cherry cola and sandalwood flavors could be firmer in structure but a lovely wine to drink now
166,a beautiful viognier if you like those rich exotic flavors the variety offers firmed up with crisp coastal acidity and fully dry its flavors range from meyer lemons key lime pie and pineapples to honeysuckle flowers vanilla and apricots
167,a beautiful white wine that shows so much territorial personality you can taste the drying mineral tones gained from the volcanic soils and the ripe fruit and pear aromas from sunny climatic conditions
168,a beautiful wine from a classic vintage this blend of cabernet sauvignon offers harmony intensity and elegance berry and dark fruit aromas are enhanced by smooth texture fine tannins and balanced acidity
169,a beautiful wine ripe fullbodied and opulent each of the constituent varieties which are cabernet sauvignon syrah merlot and petite sirah makes its contribution its dry and complex with waves of blackberries and black currants violets chocolate leather and spices wrapped into sturdy but refined tannins should age well through at least 2013
170,a beautiful wine that brims with rich varietal character and shows off how well dry creek valley grows zinfandel floods the mouth with soft polished flavors of blackberries cherries currants mocha and anise but especially crushed black pepper a worthy followup to the great 2005
171,a beautiful wine that has the character of a modern ripe cultstyle wine but maintains balance and elegance the black currant and cedar flavors are enormously satisfying while the wine is entirely dry
172,a beautiful wine with unfolding aromas of orange peel honey vanilla and spice with a viscous mélange of honey spice and citrus on the palate elegant and flinty with a luxurious finish
173,a beautiful young rutherford cabernet showing the dusty elegance and complexity of a top estate theres a rich herbality to the cherry cassis and blackberry fruit suggesting fresh green chervil sage and thyme oak adds harmonious notes of vanilla cedar and char the tannins are thick and juvenile but very finely ground with 8 cabernet franc this lush wine needs time hold until after 2008 and it should improve for another six years conservatively
174,a beautiful zin dry and spicy shows lush intricate flavors of blackberries black raspberries anise pepper cola and cedar a very fine interpretation of a dusty sonoma zinfandel
175,a beautifully balanced wine with bitter cherries in a core of dry toast it is already mature its freshness transformed into a rich texture like many rosé champagnes this is made for food
176,a beautifully crisp steely wine initially delicate then revealing depths of citrus and green plum flavors with light toast and the freshest acidity there is a final spice from wood and tight structure from the fruit imported by robert kacher imports
177,a beautifully drinkable merlot its softly tannic and quite dry with a polish of smoky oak that frames deep ripe flavors of blackberries cherries currants and exotic spices very nice now and for the next 34 years
178,a beautifully elegant wine wearing its fresh fruit and acidity on its sleeve at the moment but promising depth of fruit skin and toast flavors as the structure develops theres a fine tight final mineral edge
179,a beautifully perfumed wine it shows an elegant side to cahors offering intense and juicy blackberry fruit that override the dark tannins the wine has weight and power and remains finely proportioned age for 45 years
180,a beautifully shaped and structured wine its polished wood shines through the black plums figs and dark chocolate flavors its a wine with a velvet texture hiding sweet tannins and pushing the ripe fruit forward for aging 45 years but already very drinkable
181,a beautifully structured wine with its tannins layered between the ripest black plums damsons and black currants it is opulent while remaining dense concentrated and very serious certainly a wine for longterm aging
182,a beautifully supple delicately silky wine the flavors are of red cherries and hints of clove vanilla toasted coconut and bacon dry and crisp this pinot drinks well now and should remain harmonious through 2009
183,a berry aroma comes with cola and herb notes the palate is tangy and racy and it delivers raspberry and plum flavors with a modest finish
184,a big and bold wine showing black plum fruits an impressive structure and a solid foursquare feel it is obviously a wine for aging give it 23 years
185,a big and mauling version of malbec the nose is minty and dark while the palate runs syrupy and full with heavy blackfruit flavors darkened even more by a persistent peppery streak much less restrained and elegant than the kaiken ultra
186,a big black wine that is powered by its tannins and dark fruits and raisins the texture is open and soft probably a product of the hot 2003 vintage a lighter bottle would be an advantage
187,a big bold bright and spicy chardonnay youll hardly miss the presence of oak its so rich in fruit floods the mouth with oranges pineapples lemons limes and minerals with crisp acidity
188,a big bold expression of gewürztraminer that opens with bright aromas of natural rubber passion fruit and candied fruit it shows huge intensity and a touch of silky sweetness on the close
189,a big bold wine that is full of dense fruit and sweet berry flavors it has weight and richness the structure stuffed with pure ripe malbec fruit that has not been in wood delicious and worth aging 23 years
190,a big boldly powerful but elegant zinfandel fullbodied in the mouth and dry offering waves of ripe fruits and spices the cool 2007 vintage has kept the wine from being too ripe resulting in balanced flavors of blackberries currants licorice bacon cocoa black pepper and asian spices just terrific drink over the next six years
191,a big boy with almost fleshy fruit the flavors push into exotic tropical richness yet retain spicy citrusrind highlights there is nothing clumsy despite the ripeness the finish seems to extend almost infinitely and keeps zinging you with surprisesmarshmallow marzipan cookie dough etc an added bonus the back label clearly indicates when it was bottled and cellared 2001
192,a big bruiser somewhat of a surprise for a rogue valley bottling the alcohol is at 152 and the fruit is quite ripe extracted plummy and lush theres nothing subtle going on here but the fruit stands up to the alcohol and the tannins and in a rough and tumble way the wine delivers the goods no wimpy wines indeed
193,a big deeply flavored extraordinarily ripe syrah brimming with blackberries black currants chocolate licorice and black pepper all of it enhanced with the sweetsmoky taste of oak impresses not only for its size but for balance and finesse just terrific now and should age well for six years or so
194,a big drop off from prior years probably due to the cold harvest conditions of 2008 smells minty and lactic with hard spice and distant fruit aromas feels closed tannic and clipped with narrow berry flavors and green notes toasty on the finish but also clacky feeling good relative to other wines but not at 70
195,a big firm 100 cab rich in blackberry jam and black currant flavors enriched with lots of sweet smoky oak its made in the modern cult style of soft approachability it might age but seems best now for sheer luxury
196,a big firm and solid wine that shows the proper power of morgon while retaining some delicious sweet fruits the wine is dense in tannins and fruit giving licorice and spice as well as the final fresh acidity
197,a big floral fruity wine with all the hallmarks of excellence the fruit is exacting ripe and healthy the tannins are firm and the acidity is just right it avoids all pitfalls as it transitions well from nose to palate to finish lots of fruit to ponder then coffee spice and chocolate at the end
198,a big hearty wine packed with dense fruit blackberry jelly flavors ripe earthy and generous there is some wood here and the juicy full fruits a delicious wine for stews hearty meats
199,a big heavy fullbodied and ripe zinfandel that needs rich greasy meats and cheeses to tame it the blackberry currant and dry chocolate flavors are huge and the tannins are even bigger giving this extremely dry wine an astringent finish
200,a big jammy acidic and slightly sweet wine for washing down barbecue the blackberry cherry and blueberry flavors taste like they were baked into a pie
201,a big jammy youngster with earth and rubber on the nose firm bullish and tannic but also lively darkfruited and touched up with bacon finishes with heat and bitterness meaty and rugged yet still pretty good
202,a big mouthfilling offering with lots of oakcedar and coffeemocha shadings sweetandsour stewed berry flavors and blacktoast accents play on the fairly largescaled palate a tart chocolate note enters on the finish which displays firm but fine tannins its the best cabernet weve ever tasted from this kosher winery and it should improve over the next two to four years
203,a big potent and concentrated mountain wine coming from this fine vineyard that straddles the atlas peak appellation the wine is dry but enormously rich in blackberry and blueberry fruit flavors with spicy meaty notes of bacon impressive for sheer volume it should develop cellar nuances over the next six years
204,a big powerful and fruity chardonnay made in the classic style of this coolclimate vineyard its massive in pineapple kumquat buttered toast vanilla cream and cinnamon spice flavors brightened with crisp acidity should develop mineral nut and dried fruit notes over the years if you want to cellar it
205,a big powerful wine that lives up to its grande reserva designation with solid black fruits and equally solid firm tannins the wine is structured and rich at the same time expect this impressive wine to age for several years
206,a big powerfully structured wine with concentrated tannins and plenty of black fruit it has density juicy fruitiness layered acidity and the potential for aging at least a year
207,a big rich blockbuster merlot this has dark raisins and black plum flavors that dominate the background tannins its power comes from the superripe fruit and the concentration of the structure age for 34 years
